Objektnummer,Kulturdenkmaltyp,Kreis,Gemeinde,Adresse_Lage,Bezeichnung,Beschreibung,Begr_ndung,Schutzumfang,FotoURL
544,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Lübecker Straße 9,Rathaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/544.jpg
545,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Lübecker Straße 10 - 12a,Hotel Bürgerstuben,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/545.jpg
22002,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Lübecker Straße 10 a,Speicher Lüken,"Speicher Lüken; Ende 19. Jh.; dreieinhalbgeschossiger Massivbau, im oberen Drittel Fachwerk, Satteldach mit weitem Dachüberstand, kleine Fensteröffnungen mit Segmentbogenabschluss, Ladeachse, Außenkranöffnung","Geschichtlich, Städtebaulich",gesamtes Äußeres,
546,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Lübecker Straße 15,Heimatmuseum,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/546.jpg
5116,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Lübecker Straße 23,ehem. Kirchspielvogtei,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/5116.jpg
5117,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Lübecker Straße 64,Wohn- und Wirtschaftsgebäude,"Wohn- und Wirtschaftsgebäude; wohl 2. Hälfte 18. Jh.; eingeschossiger traufständiger Fachwerkbau mit Schopfwalmdach, straßenseitige Fassade aus Backstein, zweigeschossiger übergiebelter Torrisalit, angebaut ehem. Stellmacherei","Geschichtlich, Städtebaulich",gesamtes Objekt,https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/5117.jpg
7068,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Lübecker Straße 64 a,ehem. Scheune,ehem. Scheune; wohl Ende 18. Jh.; eingeschossiger Fachwerkbau mit Satteldach,"Geschichtlich, Städtebaulich",gesamtes Objekt,
5118,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Lübecker Straße 68,Wohnhaus,Wohnhaus; bez. 1787; eingeschossiger traufständiger Fachwerkbau mit Schopfwalmdach,"Geschichtlich, Städtebaulich",gesamtes Objekt,https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/5118.jpg
11528,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Lübecker Straße 72,Wohnhaus,"Wohnhaus; Mitte 18. Jh.; eingeschossiger giebelständiger Fachwerkbau mit Schopfwalmdach, straßenseitige Fassade aus Backstein, rot geschlämmt","Geschichtlich, Städtebaulich",gesamtes Objekt,https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/11528.jpg
5119,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Lübecker Straße 75,Wohnhaus,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Städtebaulich",gesamtes Objekt,https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/5119.jpg
27386,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Marienstraße 31,ehem. Evangelische Akademie Nordelbien,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch",gesamtes Objekt,https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/27386.jpg
12894,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Moltkestraße 2,Villa,"Villa; 1912 von H.T. Teege; zweigeschossiger massiver Putzbau mit ausgebautem Mansarddach in Hanglage, hohes Kellergeschoss, großer Treppenhausrisalit und Zwerchhaus mit geschweiften Giebeln; mit Einfriedung","Geschichtlich, Städtebaulich","Villa, Einfriedung",https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/12894.jpg
42819,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Oldesloer Straße 18,Wohn- und Geschäftshaus,Wohn- und Geschäftshaus; Ende 19. Jh.; zweigeschossiger giebelständiger Backsteinbau mit Satteldach und reicher neugotischer Bauzier,"Geschichtlich, Städtebaulich",gesamtes Objekt,
28589,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Oldesloer Straße 20,Heinrich-Wickel-Haus,"Heinrich-Wickel-Haus; vor 1838; zweigeschossiger verputzter Breitbau auf hohem Sockelgeschoss im spätklassizistischen Stil, Schopfwalmdach, fünfachsiger übergiebelter Mittelrisalit","Geschichtlich, Städtebaulich",gesamtes Objekt,
3292,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Oldesloer Straße 51,Wohnhaus,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Städtebaulich",gesamtes Objekt,https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/3292.jpg
5152,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Oldesloer Straße 76,Wohnhaus,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Städtebaulich",gesamtes Objekt,
12942,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Schillerstraße 17,Heinrich-Rantzau-Schule,"Heinrich-Rantzau-Schule; 1953-57, Architekt Dipl.-Ing. Wilhelm Otto; in landschaftlich gestaltete Grünanlage eingebetteter, mehrgliedriger Schulbau aus Klassentrakten u. Verwaltungsflügel, ein- und zweigeschossige Rotsteinbauten mit gemäßigten Satteldächern, gliedernde Betonrasterelemente","Geschichtlich, Künstlerisch, Städtebaulich",gesamtes Objekt,https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/12942.jpg
22004,Bauliche Anlage,Kreis Segeberg,"Bad Segeberg, Stadt",Seminarweg 5,Gemeinschaftsschule am Seminarweg,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Städtebaulich",gesamtes Objekt,
11613,Gründenkmal,Kreis Segeberg,"Bad Segeberg, Stadt",Hamburger Straße 25,Landratspark,"Park des ehem. Amtshauses; gegründet wohl 1750-1760, verändert im 19. Jh.; mit Einfriedung","Geschichtlich, Kulturlandschaftlich, Städtebaulich","Landratspark, Einfriedung",https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/11613.jpg
34187,Gründenkmal,Kreis Segeberg,"Bad Segeberg, Stadt",Hamburger Straße 58,Kapellenhügel,Kapellenhügel; 1770; viereckiger Hügel mit Böschungsmauern und Linden; Rantzau-Stein Nr. 5; Rantzau-Stein Nr. VI,"Geschichtlich, Städtebaulich","Kapellenhügel, Rantzau-Stein Nr. 5, Rantzau-Stein Nr. VI",https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/34187.jpg
20835,Gründenkmal,Kreis Segeberg,"Bad Segeberg, Stadt",Kirchplatz,Kirchhof (Friedhof I),"Kirchhof (Friedhof I); 1834 angelegt, 1860 auf die heutige Ausdehnung erweitert","Geschichtlich, Kulturlandschaftlich","Kirchhof (Friedhof I), Grabmale bis 1870, Kirchhofsallee, Lindenkranz um Kirchhofserweiterung",https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/20835.jpg
541,Gründenkmal,Kreis Segeberg,"Bad Segeberg, Stadt",Kurhausstraße,Jüdischer Friedhof,"Jüdischer Friedhof; 1793; rechteckiges Feld mit etwa 50 Grabmalen, Gliederung durch alleeartige Baumgruppe; schmiedeeisernes Eingangstor; Stütz- und Begrenzungsmauer; Trockenmauer am Zugangsweg","Geschichtlich, Kulturlandschaftlich, Städtebaulich, Wissenschaftlich","Jüdischer Friedhof, Zugangstor, Stütz- und Begrenzungsmauer, Trockenmauer",https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/541.jpg
13368,Sonstiges Denkmal,Kreis Segeberg,"Bad Segeberg, Stadt",Kurhausstraße 38,Maschinenpark der Wollspinnerei,Maschinenpark Wollspinnerei Blunck; Anfang 20. Jh.; bestehend aus 34 Einzelobjekten sowie den dazugehörigen Transmissionen in den ehemaligen Produktionsgebäuden der Wollspinnerei Blunck,"Geschichtlich, Technisch, Wissenschaftlich",gesamtes Objekt,
44321,Sachgesamtheit,Kreis Segeberg,Bahrenhof,Dorfstraße 10,Elisenhof,"Elisenhof; 1863, 1908; östlich des ehem. Guts Bahrenhof gelegener Dreiseithof, Ensemble aus Wohnhaus, ehem. Pferdestall, ehem. Kuhstall, Einfriedung und Hofallee","Geschichtlich, Kulturlandschaftlich, Städtebaulich","Wohnhaus mit Hofallee und Einfriedung, ehem. Pferdestall, ehem. Kuhstall",
39805,Bauliche Anlage,Kreis Segeberg,Bahrenhof,Dorfstraße 10,Wohnhaus,"Wohnhaus; 1863; zweigeschossiger Massivbau mit Satteldach und übergiebeltem Mittelrisalit, mit Einfriedung und Hofallee","Geschichtlich, Kulturlandschaftlich, Städtebaulich","Wohnhaus, Hofallee, Einfriedung",
43602,Sachgesamtheit,Kreis Segeberg,Bark,Schafhauser Landstraße 6,ehem. Hof Lembke,"ehem. Hof Lembke; nach 1791 – Ende 19. Jh.; an der Abzweigung des Heidmühlerwegs gelegenes Ensemble aus Fachhallenhaus, nach 1791, Stallgebäude, Ende 19. Jh., Nebengebäude, Ende 19. Jh., und Scheune.","Geschichtlich, Kulturlandschaftlich","Fachhallenhaus, Stallgebäude, Nebengebäude, Scheune",
5151,Bauliche Anlage,Kreis Segeberg,Bark,Schafhauser Landstraße 6,Fachhallenhaus,"Fachhallenhaus; nach 1791; eingeschossiges, traufständiges Backsteingebäude mit Anbau nach Norden, reetgedecktes Halbwalmdach","Geschichtlich, Kulturlandschaftlich",gesamtes Objekt,https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/5151.jpg
22005,Bauliche Anlage,Kreis Segeberg,Bebensee,Hauptstraße,Rantzaustein,Rantzaustein; 1575; Granitfindling mit Inschrift,"Geschichtlich, Kulturlandschaftlich",gesamtes Objekt,
28758,Bauliche Anlage,Kreis Segeberg,Bebensee,Hauptstraße,Rantzaustein,Rantzaustein; Ende 16. Jh.; Granitfindling mit Inschrift,"Geschichtlich, Kulturlandschaftlich",gesamtes Objekt,
24672,Bauliche Anlage,Kreis Segeberg,Bimöhlen,Dorfplatz,Ehrenmal für die Gefallenen beider Weltkriege,"Ehrenmal für die Gefallenen beider Weltkriege; nach 1945; Ehrenmalanlage, zentrales Postament mit Inschriftenplatten und Findling, umstanden von sechs älteren Eichen","Geschichtlich, Kulturlandschaftlich","Ehrenmal für die Gefallenen beider Weltkriege, Gedenkstein, sechs Eichen",
28337,Bauliche Anlage,Kreis Segeberg,Bimöhlen,Dorfstraße 2,Wohnhaus,"Wohnhaus, sog. „Fresenahof“; um 1905, im Kern älter; zweigeschossiger, unterkellerter und hell verputzter Massivbau mit Schopfwalmdach, nach Nordwesten drei Giebelgauben","Geschichtlich, Städtebaulich",gesamtes Objekt,
28339,Bauliche Anlage,Kreis Segeberg,Bimöhlen,Hauptstraße 18,Wohnhaus,"Wohnhaus, sog. „Schünemannsche Villa“; wohl Ende 19. Jh.; eingeschossiger Massivbau, Schopfwalmdach, Schieferdeckung, reiche Bauzier; mit schmiedeeiserner Einfriedung","Geschichtlich, Künstlerisch, Städtebaulich","Wohnhaus, Einfriedung",
10261,Bauliche Anlage,Kreis Segeberg,Blunk,Lindenstraße 1,Fachhallenhaus,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Kulturlandschaftlich, Städtebaulich",gesamtes Objekt,https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/10261.jpg
45226,Bauliche Anlage,Kreis Segeberg,Boostedt,Feldstraße 32,Wohnhaus mit Garage,"Wohnhaus mit Garage; 1930er Jahre; eingeschossiger ziegelsichtiger Massivbau im Heimatschutzstil mit Garagenanbau, hohes Walmdach; mit Einfriedung","Geschichtlich, Städtebaulich","Wohnhaus mit Garage, Einfriedung",
45223,Bauliche Anlage,Kreis Segeberg,Boostedt,Stückenredder 8,Bahnhof,"Bahnhof; 1916; dreiteilige Anlage aus zweigeschossigem Empfangsgebäude in Backsteinbauweise mit Walmdach im Heimatschutzstil, nach Norden eingeschossigem Güterschuppenanbau und nach Süden jüngerem eingeschossigem Anbau","Geschichtlich, Künstlerisch, Städtebaulich",gesamtes Objekt,
41003,Sachgesamtheit,Kreis Segeberg,Bornhöved,"Kirchstraße 4, Kirchstraße",Vicelinkirche St. Jakobi,Aktualisierung vorgesehen,"Geschichtlich, Künstlerisch, Kulturlandschaftlich, Städtebaulich","Vicelinkirche St. Jakobi mit Ausstattung, Alter Kirchhof, Grabmale bis 1870, Granitböschungsmauer, eiserne Pforte mit Gitterzaun, Granittreppen-Zugänge (Kirchstraße); Pastorat (Kirchstraße 4)",
8426,Bauliche Anlage,Kreis Segeberg,Bornhöved,Kieler Tor,Friedhofskapelle,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch",Alteintragung (Aktualisierung vorgesehen),https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/8426.jpg
7275,Bauliche Anlage,Kreis Segeberg,Bornhöved,Kirchstraße 4,Pastorat,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Städtebaulich",Alteintragung (Aktualisierung vorgesehen),https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/7275.jpg
2401,Bauliche Anlage,Kreis Segeberg,Bornhöved,Kirchstraße,Vicelinkirche St. Jakobi mit Ausstattung,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Städtebaulich",Alteintragung (Aktualisierung vorgesehen),https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/2401.jpg
26601,Bauliche Anlage,Kreis Segeberg,Bornhöved,Kuhberg 5,Fachhallenkate,"Fachhallenkate; 1819; ehem. Achtelhufe, bis 1952 Rauchhaus, seit 2010 Heimatmuseum; eingeschossiger, giebelständiger Fachwerkbau mit reetgedecktem Halbwalmdach, Inschriftenbalken über der ehem. Grootdör","Geschichtlich, Kulturlandschaftlich, Städtebaulich",gesamtes Objekt,
27218,Gründenkmal,Kreis Segeberg,Bornhöved,Graf-Adolf-Platz,Dorfanger,"Dorfanger Bornhöved; im Kern mittelalterlich; in der Ortsmitte gelegener Platz von zehn Linden umstanden, Aufreihung von drei Denkmälern","Geschichtlich, Städtebaulich","Dorfanger, Lindenkranz, Doppeleiche mit Gedenkstein, Adolfsdenkmal, Friedenseiche mit Gedenkstein",
22007,Gründenkmal,Kreis Segeberg,Bornhöved,Kirchstraße,Alter Kirchhof,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Kulturlandschaftlich","Alter Kirchhof, Grabmale bis 1870, Granitböschungsmauer, eiserne Pforte mit Gitterzaun, Granittreppen-Zugänge",
1290,Bauliche Anlage,Kreis Segeberg,Daldorf,Pettluiser Weg 8,Gut Pettluis: Herrenhaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
4662,Bauliche Anlage,Kreis Segeberg,Daldorf,Pettluiser Weg 12 - 14,Gut Pettluis: Verwalterhaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
8145,Bauliche Anlage,Kreis Segeberg,Fuhlendorf,Kieler Straße,Vollmeilenstein,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Kulturlandschaftlich, Wissenschaftlich",gesamtes Objekt,
41004,Sachgesamtheit,Kreis Segeberg,Glasau,Am Kirchplatz,Kirche Sarau,Aktualisierung vorgesehen,"Geschichtlich, Künstlerisch, Kulturlandschaftlich, Städtebaulich","Kirche mit Ausstattung, Alter Kirchhof, Grabmale bis 1870, Kirchhofspforte, Granitböschungsmauer",
12838,Bauliche Anlage,Kreis Segeberg,Glasau,Am Kirchplatz 6,ehem. Gaststätte,"ehem. Gaststätte; 1883; eingeschossiger, giebelständiger Ziegelbau mit Satteldach, ehem. Stall","Geschichtlich, Städtebaulich","ehem. Gaststätte, ehem. Stall",https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/12838.jpg
3679,Bauliche Anlage,Kreis Segeberg,Glasau,Am Kirchplatz,Kirche mit Ausstattung,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Städtebaulich",gesamtes Objekt,https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/3679.jpg
5171,Bauliche Anlage,Kreis Segeberg,Glasau,Haupthof,Gut Glasau: ehem. Herrenhaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
5172,Bauliche Anlage,Kreis Segeberg,Glasau,Haupthof,Gut Glasau: ehem. Inspektorat,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
5173,Bauliche Anlage,Kreis Segeberg,Glasau,Haupthof,Gut Glasau: sog. Kavalierhaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
5276,Bauliche Anlage,Kreis Segeberg,Glasau,Haupthof,Gut Glasau: Mansardscheune,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
5277,Bauliche Anlage,Kreis Segeberg,Glasau,Haupthof,Gut Glasau: Alter Speicher,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
5170,Bauliche Anlage,Kreis Segeberg,Glasau,Segeberger Straße 1,Gut Glasau: Neues Herrenhaus mit  Wirtschaftstrakt,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
13893,Bauliche Anlage,Kreis Segeberg,Glasau,Segeberger Straße 1,Gut Glasau: Toranlage,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
31495,Bauliche Anlage,Kreis Segeberg,Glasau,Zum Hagener Holz 17,sog. Ziegenhaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
31496,Bauliche Anlage,Kreis Segeberg,Glasau,Zum Hagener Holz 19,Forsthaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
31498,Bauliche Anlage,Kreis Segeberg,Glasau,Zum Hagener Holz 19,ehem. Backhaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
31499,Bauliche Anlage,Kreis Segeberg,Glasau,Zum Hagener Holz 19,Stallgebäude,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
20866,Gründenkmal,Kreis Segeberg,Glasau,Am Kirchplatz,Alter Kirchhof,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Kulturlandschaftlich","Alter Kirchhof, Grabmale bis 1870, Kirchhofspforte, Granitböschungsmauer",https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/20866.jpg
13894,Gründenkmal,Kreis Segeberg,Glasau,Enge Straße,Lindenallee nach Sarau,"Lindenallee; vor ca. 50 Jahren replantiert; Ost-West verlaufende, vom Gutspark Glasau nach Sarau führende Lindenallee","Geschichtlich, Kulturlandschaftlich",gesamtes Objekt,
10877,Gründenkmal,Kreis Segeberg,Glasau,Segeberger Straße 1,Gutspark,"Gutspark Glasau; 19./20. Jh., im Kern auf das späte Mittelalter zurückgehend; um das alte und neue Herrenhaus des Gutes herum gruppierte Garten- und Parkanlage mit aufgestautem Burgsee, ehem. Burggraben, dem Bach der Glasau, verschiedenen Alleen, Eiskellerhügel, Bienenhaus und Taubenhaus","Geschichtlich, Künstlerisch, Kulturlandschaftlich","Gutspark, Taubenhaus, Bienenhaus, geköpfte Lindenallee, Eichenallee, Kugelahornallee, Eiskellerhügel, aufgestauter Burgsee, ehem. umlaufender Burggraben, Bach Glasau",
3051,Bauliche Anlage,Kreis Segeberg,Groß Kummerfeld,Papiermühle,ehem. Papiermühle,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/3051.jpg
22016,Bauliche Anlage,Kreis Segeberg,Groß Kummerfeld,Papiermühle,Mühlenspeicher,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
22017,Bauliche Anlage,Kreis Segeberg,Groß Kummerfeld,Papiermühle,Backhaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
22018,Bauliche Anlage,Kreis Segeberg,Groß Kummerfeld,Papiermühle,Stauwehr,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
22019,Bauliche Anlage,Kreis Segeberg,Groß Kummerfeld,Papiermühle,Störbrücke,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
7303,Bauliche Anlage,Kreis Segeberg,Groß Niendorf,Hamburger Straße,Meilenstein,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Kulturlandschaftlich, Wissenschaftlich",gesamtes Objekt,
22022,Bauliche Anlage,Kreis Segeberg,Groß Rönnau,Schulstraße 1,Alte Schule,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Städtebaulich",gesamtes Äußeres,
5867,Bauliche Anlage,Kreis Segeberg,Groß Rönnau,Segeberger Straße 27,Alte Fischerkate,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Städtebaulich",gesamtes Objekt,
41006,Sachgesamtheit,Kreis Segeberg,Großenaspe,"Kirchstraße 2, Kirchstraße",Katharinenkirche zu Großenaspe,"Katharinenkirche zu Großenaspe; 1769 – nach 1918; im historischen Ortskern gelegenes Ensemble aus der spätbarocken Katharinenkirche mit Ausstattung, dem Kirchhof mit Feldsteinmauer, Grabmalen bis 1870, Lindenkranz, Ehrenmal 1914-1918 und Gedenkstein (Obelisk), sowie dem Alten Pastorat","Geschichtlich, Künstlerisch, Kulturlandschaftlich, Städtebaulich","Katharinenkirche zu Großenaspe mit Ausstattung; Kirchhof mit Feldsteinmauer, Grabmale bis 1870, Lindenkranz, Ehrenmal 1914-1918; Zweikaiser-Denkmal mit Eiche (Kirchstraße); Altes Pastorat (Kirchstraße 2)",
4264,Bauliche Anlage,Kreis Segeberg,Großenaspe,Hamburger Chaussee,Vollmeilenstein,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Kulturlandschaftlich, Wissenschaftlich",gesamtes Objekt,
3048,Bauliche Anlage,Kreis Segeberg,Großenaspe,Kirchstraße,Katharinenkirche zu Großenaspe mit Ausstattung,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Städtebaulich",gesamtes Objekt,https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/3048.jpg
45235,Bauliche Anlage,Kreis Segeberg,Großenaspe,Kirchstraße,Zweikaiser-Denkmal mit Eiche,"Zweikaiser-Denkmal mit Eiche; Ende 19. Jh.; Obelisk mit Medaillons für Kaiser Wilhelm I. und Kaiser Friedrich III., schlanke Eiche","Geschichtlich, Städtebaulich",gesamtes Objekt,
6904,Bauliche Anlage,Kreis Segeberg,Großenaspe,,Granitquaderbrücke (Russenbrücke),Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
19755,Gründenkmal,Kreis Segeberg,Großenaspe,Kirchstraße,Kirchhof,"Kirchhof; 18.-20. Jh.; Anlage um die Katharinenkirche mit Feldsteinmauer, Grabmalen bis 1870, Lindenkranz und Ehrenmal 1914-1918","Geschichtlich, Kulturlandschaftlich","Kirchhof, Feldsteinmauer, Grabmale bis 1870, Lindenkranz, Ehrenmal 1914-1918",https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/19755.jpg
24676,Gründenkmal,Kreis Segeberg,Gönnebek,Dörpplatz,Dorfanger,"Dorfanger Gönnebek; im Kern auf das späte Mittelalter zurückgehend; Ost-West ausgerichteter, länglicher Platz in der Mitte des Dorfes mit Teich, Doppeleiche mit Gedenkstein, zwei Findlingen als Ehrenmal für die Gefallenen beider Weltkriege sowie umfangreichem Altbaumbestand in Form von Alleen und Baumreihen","Geschichtlich, Kulturlandschaftlich, Städtebaulich","Dorfanger, Ehrenmal für die Gefallenen beider Weltkriege, Doppeleiche mit Gedenkstein, Teich, Altbaumbestand",
11027,Bauliche Anlage,Kreis Segeberg,Hardebek,Hauptstraße 30,Alte Schule,"Alte Schule; 1904, 1924 erweitert; eingeschossiger traufständiger Massivbau mit Satteldach, zwei Eingangsrisalite, Ziegeldekor; mit Baumreihe","Geschichtlich, Kulturlandschaftlich, Städtebaulich","Alte Schule, Baumreihe",https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/11027.jpg
11071,Bauliche Anlage,Kreis Segeberg,Hasenkrug,Dorfstraße 1,Alte Schule,"Alte Schule; 1914; eingeschossiger, giebelständiger Ziegelbau im Heimatschutzstil, Schopfwalmdach, im Osten eingeschossiger, traufständiger Trakt  für Klassenzimmer; mit Nebengebäude und Lindenreihe","Geschichtlich, Städtebaulich","Alte Schule, Nebengebäude, Lindenreihe",https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/11071.jpg
41873,Sachgesamtheit,Kreis Segeberg,Heidmühlen,Am Klint 38,Gasthof Klint,"Gasthof Klint; um 1700 bis 1910; am Dorfanger gelegenes massives, zusammenhängendes Ensemble aus Haupthaus, Pferdestall, Zwischenbau, Kuhstall und Festsaal","Geschichtlich, Künstlerisch, Kulturlandschaftlich","Gasthof Klint, Festsaal mit Bühnenausstattung, Kuhstall, Pferdestall, Zwischenbau",
22319,Bauliche Anlage,Kreis Segeberg,Heidmühlen,Am Klint 38,Festsaal mit Bühnenausstattung,Festsaal mit Bühnenausstattung; um 1910; Gesellschaftsraum im Saalanbau des Gasthofes Klint mit Bühnenausstattung,"Geschichtlich, Künstlerisch",gesamtes Objekt,
313,Bauliche Anlage,Kreis Segeberg,Heidmühlen,Mühlenholz 1,Wassermühle,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/313.jpg
22024,Bauliche Anlage,Kreis Segeberg,Heidmühlen,Mühlenholz 4,Wohn- und Wirtschaftsgebäude,"Wohn- und Wirtschaftsgebäude; 1817, im Kern vermutlich älter; Backsteinbau mit reetgedecktem Walmdach, zweigeschossiger Wohnteil, eingeschossiger Wirtschaftsteil mit hohem Dach, rückwärtig Hofgebäude, Zufahrt und Hoffläche mit Natursteinpflasterung","Geschichtlich, Kulturlandschaftlich, Städtebaulich","Wohn- und Wirtschaftsgebäude, Wirtschaftsgebäude, Hofpflasterung",
42853,Gründenkmal,Kreis Segeberg,Heidmühlen,Dorfstraße,Doppeleiche,"Doppeleiche mit Gedenkstein 1848-98; um 1898, schleswig-holsteinische Doppeleiche, davor Feldstein mit Inschrift, Dorfplatz","Geschichtlich, Kulturlandschaftlich","Doppeleiche, Gedenkstein 1848-98, Dorfplatz",
