FID,wkb_geometry,id,name_titel,adresse_or,georeferen,link_zu_da,erlaeutern,x,y
archivalie_des_monats.17,POINT (294997 5628406),17,Isabella Gräfin von Harscamp,Harscampstraße,294997 5628406,http://www.aachen.de/de/kultur_freizeit/kultur/stadtarchiv/archivalie_monat/archivalie22.html,"Am 29. Januar 1805 verfasste Isabella Gräfin von Harscamp ihr 59-seitiges Testament in französischer Sprache. Darin bedachte sie die Städte Namur und Aachen großzügig mit Schenkungen. Sie sollten für Brotspenden, zum Wohle von „verschämten Armen“ (in Not Geratene, die sich ihrer Armut schämen), sowie zur Berufsausbildung von Mädchen und Jungen aus verarmten Adels- und Bürgerfamilien verwendet werden. In Aachen wurden im Jahr 1900 aus der Harscamp‘schen Stiftung insgesamt 24.258 Goldmarkausgeschüttet. Inzwischen existiert die Aachener Stiftung nicht mehr. Mit Wirkung vom 1. Januar 1967 ist das zu dem Zeitpunkt noch vorhandene Vermögen der Harscamp‘schen Stiftung in den städtischen Armenfonds eingeflossen. Die Erträge kommen weiterhin gemeinnützigen oder mildtätigen Zwecken zugute, wie in der Jugendhilfe, Altenhilfe, Erziehung, Volks- und Berufsbildung sowie Studentenhilfe, aber auch in der Hilfe für politisch oder religiös Verfolgte, für Flüchtlinge und Vertriebene und das Wohlfahrtswesen. Zuschüsse gehen z.B. an den Deutschen Kinderschutzbund, die Diakonie, SKM, und Refugio e.V.. Nach der Gräfin wurde die Harscampstraße benannt.",294997,5628406
archivalie_des_monats.11,POINT (295075 5628296),14,Jumelage Aachen-Reims,Theaterstraße 67,295075 5628296,http://www.aachen.de/de/kultur_freizeit/kultur/stadtarchiv/archivalie_monat/archivalie14.html,"""Als der Reimser Bürgermeister Jean Taittinger und der Aachener Oberbürgermeister Hermann Heusch am 28. Januar 1967, am Tage des Karlsfestes, mit ihren Unterschriften auf einer Pergamenturkunde die Städtepartnerschaft (französisch: Jumelage) zwischen der französischen Krönungsstadt Reims und der deutschen Krönungsstadt Aachen in 
Kraft treten ließen, war dies der Abschluss einer längeren Entwicklung und Ausdruck einer europäischen Hoffnung.""",295075,5628296
archivalie_des_monats.31,POINT (294403 5628968),18,Einweihung der Rathaustürme und des Glockenspiels 1979,Markt,294403 5628968,http://www.aachen.de/de/stadt_buerger/politik_verwaltung/pressemitteilungen/Archivale-des-Monats-August-2019.html,"Im Laufe der Jahrhunderte hat sich der Anblick des Aachener Rathauses und seiner Türme oftmals gewandelt. Und immer wieder waren Feuer und Zerstörung ausschlaggebend für diese Verwandlung. Im vierzehnten Jahrhundert erbaut, wurde das Rathaus mit zwei mächtigen Türmen flankiert. Beide Türme erhielten schlanke und eher einfach ausgeführte Spitzen im gotischen Stil, die ab diesem Zeitpunkt bis in die Mitte des 17. Jahrhunderts alle Abbildungen des Rathauses zieren. Bei dem verheerenden Stadtbrand am 2. Mai 1656 nahm auch das Rathaus schweren Schaden. Die Dachkonstruktionen brannten völlig aus. Recht schnell wurden die Stadt und das Rathaus wieder aufgebaut. Die Türme erhielten neue Helme, die aber mit ihren Zwiebelspitzen nunmehr eine barocke Ausprägung erhielten. Über 200 Jahre waren nun diese Barockhelme markante Punkte in der Silhouette der Stadt – bis am 29. Juni 1883 erneut ein Großbrand in der Stadt Aachen das Rathaus und damit auch die beiden Türme schwer beschädigte. Wieder wurden die Dachkonstruktionen des Rathauses und der Türme vernichtet. Für die Wiederherstellung wurde ein Wettbewerb ausgelobt, durch den die Türme ihre hohen, aber im Vergleich zum Barock eher schlichten Helme mit den jeweils vier markanten Erkern im unteren Bereich der Turmdächer und den schlank zulaufenden Spitzen erhielten. Wieder einmal fielen die Dachkonstruktionen des Rathauses und der Türme einem Feuersturm zum Opfer, den die Bombenangriffe der Alliierten im Zweiten Weltkrieg 1944 auslösten. Nach dieser erneuten Zerstörung lag der Fokus der Stadtväter nunmehr zuerst auf den grundlegendsten Bedürfnissen der Einwohner der Stadt, sodass die Wiederherstellung der Rathaustürme erst einmal in den Hintergrund rückte und sie provisorische, schlichte Dächer zur Abdichtung erhielten. Erst in den 1970er-Jahren wurde zur Wiederherstellung des Rathauses und der Turmhelme wieder ein Wettbewerb ausgeschrieben. Die Entwürfe von Dr. Leo Hugot fanden den Beifall des Auswahlgremiums. Seine Turmgestaltung orientierte sich an den gotischen Gestaltungselementen der Türme, die sie auch in der ersten Phase ihrer Existenz unmittelbar nach der Fertigstellung des Rathauses prägten. Das Rathaus sollte auch sein Glockenspiel erhalten und so wurde dieses Glockenspiel zusammen mit den Rathaustürmen am 3./4. August 1979 im Rahmen eines großen Stadtfestes offiziell eingeweiht.",294403,5628968
archivalie_des_monats.26,POINT (294364 5629070),23,"Auslobung des Aachener Dichterwettbewerbs ""Wurmlieder"" in der Brauwirtschaft Beckers („Auf den Treppchen“)",Pontstraße 1,294364 5629070,http://www.aachen.de/de/kultur_freizeit/kultur/stadtarchiv/archivalie_monat/archivalie38.html,"Am 28. Januar 1899 fand in Aachen ein Dichterwettbewerb statt, der sich dem Motiv der Wurm annahm. Anlass hierfür war der damalige Erfolg der Mosellieder; so waren Textzeilen wie „He! Rosel den Mosel“ zum geflügelten Wort geworden. Hiervon herausgefordert fühlte sich der Stammtisch einiger Aachener, die sich mit viel Engagement der Öcher Kultur annahmen, und der sich in der Brauwirtschaft Beckers („Auf den Treppchen“) im Haus Pontstraße 1 regelmäßig traf. Die mit einem Augenzwinkern ersonnene Idee eines „Preis-Ausschreibens für das beste Lied zu Lob und Preis der Wurm“ war schnell gefunden. Am 21. Dezember 1898 erschien in den Aachener Zeitungen ein entsprechender Aufruf: „Nach berühmten Mustern hat sich der Stammtisch des Restaurants Beckers, ‚auf den Treppchen‘, Pontstrasse 1, entschlossen, ein Preislied auf Aachens berühmten Fluss, die Wurm, dichten zu lassen, zu Freud und Frommen der Vaterstadt.“Männlein und Weiblein wurde zur Beteiligung am Wettstreit aufgerufen, die Beiträge mussten bis zum 15. Januar 1899 im Restaurant Beckers im verschlossenen Umschlag abgegeben werden. „Als Preis für die beste volksthümliche Liederdichtung (auch in Aachener Mundart gestattet) zu Ehren des schwärzlichen Wurmgewässers werden 100 Flaschen des feinsten Treppchen-Lagerbieres ausgesetzt.“ 95 Beiträge in Hochdeutsch und Öcher Platt gingen ein; den ersten Preis erhielt Josef Starmanns für seine in Hochdeutsch und Öcher Platt verfasste „Wurmballade“ mit dem Motto „Hoch Aachen“. Als bestes Werk befunden wurde allerdings eine Dichtung von Carl Krauss, der allerdings Angehöriger der Jury war, weshalb er mit einem Ehrenpreis bedacht wurde. Die prämierten Beiträge sowie eine Auswahl der gelungensten Einsendungen zu diesem Dichterwettbewerb wurden 1899 unter dem Titel „ Wurm-Lieder – Eine Blütenlese aus der Concurrenz Aachener Dichter am 28. Januar 1899“ bei der La Ruelle’schen Accidenzdruckerei von Joseph Deterre veröffentlicht. ",294364,5629070
archivalie_des_monats.19,POINT (294074 5628620),30,Oecher Schängche,Löhergraben 32,294074 5628620,http://www.aachen.de/de/kultur_freizeit/kultur/stadtarchiv/archivalie_monat/archivalie25.html,"Trotz aller Nöte gab es in der Nachkriegszeit auch für Kinder ein kulturelles Angebot, wenn auch ein überschaubares. Die Städtische Puppenbühne hatte bereits im Oktober 1946 wieder mit ihren Aufführungen begonnen. Sie zeigte am 14. Dezember 1947 die erste Nachkriegsaufführung des Stücks „Das große Aachener Krippenspiel“ von Will Hermanns. Hermanns hatte 1921 das „Öcher Schängche“ mitgegründet, sich aber zwischenzeitlich von ihm abgewandt. In der Weihnachtszeit 1933 hatte „Das große Aachener Krippenspiel“ dann zum Repertoire einer neu gegründeten Puppenbühne. Sie führte es am 11. Dezember 1933 im Gartensaal des Alten Kurhauses erstmals als Puppenspiel auf. Die 1946 wieder ins Leben gerufene Städtische Puppenbühne hätte das Stück womöglich auch schon ein Jahr früher aufgeführt, aber der Leiter der Puppenbühne weigerte sich, Stücke von Hermanns zu spielen, so lange dieser noch nicht entnazifiziert war. Hermanns hatte sich u. a. als Leiter des städtischen Presseamtes und Redenschreiber für den NS-Bürgermeister Quirin Jansen in den 1930er-Jahren in den Dienst des NS-Regimes gestellt. 1947 kam das Stück auf den Spielplan. Hermanns‘ selbst betonte, dass gerade in diesem Weihnachtstück deutlich werde, dass das Öcher Platt keineswegs nur zu komischen Zwecken tauge. Die Aachener Nachrichten schrieben am 19. Dezember 1947 über die erste Wiederaufführung des Puppenspiels: „Man möchte dieser Weihnachtslegende in ‚Aachener Melodie‘ alljährliche Wiederkehr im Festkreis der Weihnacht wünschen, auf daß recht viele Menschen sich ihrer schlichten, reinen Deutung erfreuen mögen.“ Und den Hirten zuhören, wenn sie vor der Krippe aus Freude über das gefundene Kind singen: „Wer hant e Kengche fonge“.",294074,5628620
archivalie_des_monats.29,POINT (295690 5629473),20,Schirmfabrik Brauer,Jülicher Straße 97-109,295690 5629473,http://www.aachen.de/de/kultur_freizeit/kultur/stadtarchiv/archivalie_monat/archivalie41.html,"Am 12. April 1919 wurde in Weimar das Staatliche Bauhaus in Weimar gegründet. Der Einfluss des Bauhauses mit seinem sachlichen, auf das Wesentliche reduzierten Stil auf die Architektur in Deutschland wurde Ende der 1920er-Jahre auch in Aachen sichtbar: beim 1928 einweihten Neubau der Schirmfabrik Brauer, dem heutigen Ludwig Forum. Im Jahr 1882 eröffnete Emil Brauer sen. in der Adalbertstraße ein Schirmgeschäft mit eigener Fabrikation. Es wuchs rasch; 1913 bezog die Firma Brauer eine eigene Fabrik in der Peterstraße. Die Besonderheiten des Herstellungsprozesses machten auf Dauer eine Fabrikationshalle notwendig, die auf die Bedürfnisse der Schirmherstellung ausgerichtet war und neben großen Lager- und Verkehrsflächen auch Ateliers und Räume für Musterausstellungen bereitstellte. Die Söhne des Firmengründers Emil Brauer, Emil jr. und Artur, gaben eine neue Fabrikhalle in Auftrag. Sie wurde auf dem Gelände der ehem. Dampfkesselfabrik Piedboeuf an der Jülicher Straße gebaut. In der neuen Halle stellten die 1.000 Mitarbeitenden mithilfe moderner Produktionstechnik bis zu 12.000 Schirme pro Tag her. Das bedeutete einen Marktanteil in Deutschland von zeitweise 40 Prozent. Entworfen wurde das neue Fabrikgebäude von den Architekten Josef Bachmann und Alexander Lürken im sachlichen Stil des Neuen Bauens. Der Neubau wurde im Dezember 1928 in Anwesenheit vieler prominenter Gäste eröffnet. Die Firma Brauer nutzte das Fabrikgebäude selbst als Werbemittel: Ein Modell der modernen Schirmfabrik wurde auf Messen präsentiert, Abbildungen erschienen in Anzeigen. Unter dem Druck der Konkurrenz aus Fernost verkleinerte sich die Produktion in den 1970er-Jahren. Im November 1984 wurde das Gebäude der Stadt Aachen als Ort für die zeitgenössische städtische Kunstsammlung unter Einbeziehung der Sammlung Ludwig angeboten. Im Zuge der Realisierung des ambitionierten Projekts wurde der Fabrikbau 1987 unter Denkmalschutz gestellt und ab 1988 saniert und zum Museum umgebaut wurde. Im Oktober 1991 wurde das Gebäude als Ludwig Forum für moderne Kunst Aachen feierlich eröffnet.",295690,5629473
archivalie_des_monats.28,POINT (295140 5628649),21,Brand der Johannes-Notkirche,Martin-Luther-Straße,295140 5628649,http://www.aachen.de/de/kultur_freizeit/kultur/stadtarchiv/archivalie_monat/archivalie40.html,"Am Samstag, 24. März 1979, ging um 5.34 Uhr ein Alarm bei der Aachener Feuerwehr ein: Feuer in der Johannes-Notkirche in der Martin-Luther-Straße/Ecke Wespienstraße! Als die Feuerwehr kurz darauf mit zwei Löschzügen dort eintraf, stand bereits das gesamte Kirchengebäude in Flammen, die Kirche war vollkommen zerstört. Der Probst von St. Adalbert bot dem Pfarrer der Johannes-Kirche spontan die eigenen Kirchenräume für den sonntäglichen Gottesdienst an. Die Kriminalpolizei schloss Brandstiftung schon bald als Brandursache aus. Wahrscheinlich hatte ein Kurzschluss das Feuer ausgelöst. Die Johannes-Notkirche von 1948/49 war ein Backsteinbau, der nach Plänen des Architekten Otto Bartning gebaut worden – nicht weit entfernt von der im Zweiten Weltkrieg zerstörten evangelischen Christuskirche. Die Grundsteinlegung erfolgte am Reformationstag des Jahres 1948. Die Mittel für das Kirchendach und die hölzernen Hauptteile der Konstruktion, 10.000 Dollar, waren von der Evangelical and Reform Church in den USA gesammelt worden. Die Gemeinde selbst musste 45.000 DM aufbringen, die u. a. durch Spenden für einzelne Bausteine der Notkirche eingesammelt werden konnten. Viele Gemeindemitglieder halfen beim Bau der Kirche mit, die am Palmsonntag 1949 eingeweiht werden konnte. In der Nachkriegszeit war sie mit ihren 500 Plätzen für einige Jahre die einzige evangelische Kirche in der Stadt, die von den noch rund 10.000 evangelischen Christen genutzt werden konnte. Alle vier evangelischen Kirchen im Stadtgebiet waren im Krieg zerstört oder stark beschädigt worden.Schon bald nach dem Brand diskutierte das Presbyterium, ob die Kirche wiederaufgebaut wird oder ob sie an anderer Stelle neu entstehen sollte. Schließlich fiel die Entscheidung für den Abriss der noch stehenden Mauerreste. Stattdessen wurde eine neue Kirche auf das in unmittelbarer Nähe liegende Grundstück an der Martin-Luther-Straße gebaut, auf dem die im Krieg zerstörte Christuskirche, deren Reste 1959 abgerissen worden waren, gestanden hatte. Der damalige Neubau ist das heutige Martin-Luther-Haus, das heute nicht mehr als Kirche dient, sondern das Haus der Evangelischen Familienbildungsstätte ist.",295140,5628649
archivalie_des_monats.25,POINT (294857 5628089),24,Gründung des Aachener Arbeiter- und Soldatenrates im Bahnhof,Bahnhofsplatz,294857 5628089,http://www.aachen.de/de/archiv/archiv_stadt_buerger/archiv_politik_verwaltung/archiv_pressemitteilungen/Die-Archivale-des-Monats-November-2018.html,"Am 11. November 1918 endete der Erste Weltkrieg. Bereits zwei Tage zuvor hatte in Berlin Kaiser Wilhelm II. abgedankt, nachdem in den meisten Großstädten Arbeiter- und Soldatenräte die Macht übernommen hatten. Ausgehend vom Matrosenaufstand in Kiel am 3. November, hatte sich diese politische Bewegung rasch ausgebreitet und am 7. November Köln erreicht. In der Nacht vom 8. auf den 9. November fährt eine Abordnung des Kölner Arbeiter- und Soldatenrats mit der Eisenbahn nach Aachen und gründet noch im Bahnhofsgebäude einen provisorischen Arbeiter- und Soldatenrat für Aachen. Noch während der Nacht werden die Offiziere ihrer Stellung enthoben und Gefangene befreit. Am folgenden Tag, dem 9. November, trifft der Arbeiter- und Soldatenrat mit Bürgermeister Wilhelm Farwick sowie dem Polizeipräsidenten und dem Regierungspräsidenten zusammen. Vereinbart wird eine Stadtregierung unter der Führung des Arbeiter- und Soldatenrats, deren wichtigstes Ziel es ist, die öffentliche Sicherheit und Versorgung aufrechtzuerhalten. In seinem Aufruf „An die gesamte Aachener Bürgerschaft“ verkündet der Arbeiter- und Soldatenrat den Beginn einer „demokratischen und sozialen Republik“ in Deutschland. Er appelliert an die Disziplin der Arbeiter und Bürger und ordnet Maßnahmen zur Aufrechterhaltung der öffentlichen Sicherheit an und droht aber auch damit, auf frischer Tat überführte Einbrecher, Diebe und Plünderer zu erschießen. Im Anschluss an den Aufruf „empfehlen“ Polizeipräsident und Oberbürgermeister die Vorschriften des Arbeiter- und Soldatenrats zu befolgen, „sofern sie sich auf die Aufrechterhaltung der Ruhe und Ordnung beziehen“. Während der folgenden drei Wochen blieb der Arbeiter- und Soldatenrat das oberste Gremium der Stadt. Erst die belgische Besatzung löste ihn an 30. November 1918 auf. In der Zwischenzeit war es dem Arbeiter- und Soldatenrat gelungen, durch die Zusammenarbeit mit Verwaltung und Polizei eine größere Krise in der Stadt zu verhindern. Der Lebensalltag hingegen normalisierte sich nur langsam. Auch wenn Aachen in den nächsten Jahren besetzt blieb und die nächsten Jahre krisenhaft blieben, markiert der 9. November 1918 den Beginn der ersten demokratischen Republik in Deutschland.",294857,5628089
archivalie_des_monats.23,POINT (299291 5626584),26,Pferderennen auf der Brander Heide,Brander Heide,299291 5626584,http://www.aachen.de/de/kultur_freizeit/kultur/stadtarchiv/archivalie_monat/archivalie32.html,"Der Pferdesport hat in Aachen eine lange Tradition, die ihre modernen Ursprünge in den hier veranstalteten Pferderennen hat. Das erste moderne Pferderennen nach englischer Art fand in Aachen im Juli 1821 auf der Brander Heide statt. Es war wahrscheinlich das erste Mal, daß ein solches Rennen in Deutschland ausgetragen wurde. Anlass war der geplante Besuch König Friedrich Wilhelms III., der sich aber letztlich von Prinz Wilhelm, dem späteren Kaiser Wilhelm I., vertreten lassen musste. Ein eigens engagierter englischer Stallmeister organisierte das Rennen und führte es durch. Es sollte dann aber bis 1834 dauern, bis erneut ein großes Rennen in der Brander Heide, die ungefähr zwischen Gut Neuenhof und der Ortschaft Brand lag, stattfand. Von nun an wurden dort Pferderennen durchgeführt, allerdings mit Unterbrechungen in den Jahren 1841/42 und von 1848 bis 1868. Wichtige Förderer des Rennsports in Aachen waren der Aachener Unternehmer James Cockerill und später seine Enkel, die Rennreiter Henry und Otto Suermondt, mit ihrem Reitstall. Der Bau der Vennbahn 1883, der eine Bahnanreise zu den Rennen ermöglichte, förderte die Popularität der Rennen zusätzlich. Im Jahr 1896 wurde das vorerst letzte Rennen durchgeführt, die Veranstalter zogen sich aus finanziellen Gründen zurück. Der 1898 gegründete Laurensberger Rennverein, ab Juni 1923 Aachen-Laurensberger Rennverein, knüpfte an diese Tradition an und organisierte zunächst auch öffentliche Pferderennen für die pferdesportbegeisterten Aachener, bis 1924 das erste Reit- und Fahrturnier in der Soers ausgerichtet wurde – die Keimzelle für den heutigen Concurs Hippique International Officiel, oder kurz: CHIO.",299291,5626584
archivalie_des_monats.20,POINT (295175 5630373),29,Alter Tivoli,Krefelder Straße,295175 5630373,http://www.aachen.de/de/kultur_freizeit/kultur/stadtarchiv/archivalie_monat/archivalie27.html,"Am 12. Januar 1908 schrieb der 27-jährige Kurt Pfeiffer, seines Zeichens Eisenbahnpraktikant und Vorsitzender des FC Alemannia, an das Königliche Polizeipräsidium in Aachen und zeigte an, dass die bisher allein den Vereinsmitgliedern vorbehaltene Vereinszeitung, das „Nachrichtenblatt des F. C. Alemannia“, von nun an unter dem Titel „Nachrichtenblatt der Aachener Fußballvereine“ alle 14 Tage als öffentliche Zeitung erscheinen würde. Hierfür wurde die Zeitung aber nicht in anderer Form aufgelegt; vielmehr wurde um die Vereinszeitung nur ein Mantel mit dem allgemeineren Zeitungstitel und vielen Werbeanzeigen gelegt. Wer das Nachrichtenblatt aufschlug, bekam die Titelseite der Alemannia-Vereinszeitung zu sehen. Nichtsdestoweniger war die Vereinszeitung auch für Nicht-Alemannen interessant, druckte sie doch regelmäßig ausführliche Spielberichte der Alemannia ab, die damals – wie heute leider auch – vor allem gegen lokale und regionale Gegner spielte. Zudem gab es Kurzinformationen aus anderen Vereinen und Sportberichterstattung aus dem Gebiet des Westdeutschen Spielverbands, zu dem die Alemannia gehörte. Eine Vereinszeitung hatte die Alemannia bereits seit 1905. Der Zeitungskopf war durch Zeichnungen eines Mitglieds aufwändig gestaltetet worden, die Berichterstattung war ausführlich. So gab das „Nachrichtenblatt“ den vornehmlich von den Aachener Gymnasien stammenden Mitgliedern ein Medium an die Hand, um in gut geschriebenen Texten über ihr sportliches Treiben, aber auch über das intensive kulturelle Leben im Verein – es gab u.a. ein Orchester und eine Bibliothek – zu berichten. Die Vereinszeitung der Alemannia erschien mit nur kleinen kriegsbedingten Unterbrechungen bis Juni 1975. Parallel erscheint seit 1952 eine Stadionzeitschrift, die zunächst „Und heute“ und dann „Tivoli-Sportvorschau“ hieß, und seit Dezember 1976 als „Tivoli-Echo“ erscheint.",295175,5630373
archivalie_des_monats.36,POINT (295205 5631144),36,Das Aachener Open Air Pop-Festival in der Soers im Juli 1970,Soers,295205 5631144,http://www.aachen.de/de/kultur_freizeit/kultur/stadtarchiv/archivalie_monat/archivalie56.html,"Vom 10. bis 12. Juli 1970 fand in Aachen ein Musikfestival statt, wie es die Stadt und die 
Region in vielerlei Hinsicht noch nicht gesehen hatten. Die Rockmusik in ihren verschiedenen Varianten stand 1970 für ein Lebensgefühl, das von dem Wunsch nach Freiheit und Frieden geprägt war. Für die Bevölkerung im Grenzland war das Aachener Open-Air-Festival ein direkter Kontakt mit diesem Lebensgefühl in bis dahin nicht gekannter Form. „Blumenkinder, Hippies und Gammler“ wurden von der Aachener Presse erwartet. Ein Jahr nach Woodstock strömten an den drei Festivaltagen zwischen 20.000 und 45.000 oft internationale Besucher ins Aachener Reitstadion, um Bands wie z. B. Deep Purple, Golden Earring und Pink Floyd zu sehen. Das Festival hatte in den Wochen vor seiner Eröffnung bereits seine Schatten vorausgeworfen, Die antibürgerliche Mode, lange Haare und der Marihuana-Konsum vieler Festivalbesucher, aber auch das wilde Übernachten in der Stadt und delirierende Jugendliche waren die thematischen Dauerbrenner der damaligen Berichterstattung. Die Aachener Zeitungen berichteten nur wenig über die Musik, dafür viel mehr über das Drumherum, oft mit spitzem Unterton, der den kritischen Blick auf die allzu berauschte Jugendkultur ausdrückte. Dennoch dokumentierten die Aachener Redakteure die Geschehnisse in der Soers sehr aufmerksam und mit großen Bilderstrecken in den Tageszeitungen. Ein Problem für die Stadt, die einen Einsatzstab gebildet hatte, waren die Übernachtungsmöglichkeiten für die vielen Tausend Festivalgäste und ihre Verpflegung. Es wurden drei ehemalige Luftschutzbunker geöffnet und als Schlafstätten freigegeben, was dankend angenommen wurde; auf der Küppers Wiese am Soerser Weg richteten Stadt, Veranstalter und ALRV ad hoc einen Campingplatz ein. Die Federführung bei der Begleitung der Veranstaltung lag allerdings beim Kreis Aachen bzw. bei der damals noch selbständigen Gemeinde Laurensberg, auf deren Gebiet das Veranstaltungsgelände lag. Das Archival des Monats Juli 2020 ist ein Schreiben des Aachener Polizeipräsidenten Ernst Dundalek an den Aachener Oberstadtdirektor Anton Kurze vom 18. Juni 1970, in dem vorbereitende Maßnahmen für die Unterbringung der Gäste, die Betreuung von hilfsbedürftigen Personen bei der Großveranstaltung und die Kontaktaufnahme mit dem Oberkreisdirektor empfohlen werden.",295205,5631144
archivalie_des_monats.37,POINT (295187 5630456),37,Die „Automobil-Fernfahrt Berlin-Aachen“ im Sommer 1900,Alter Tivoli,295187 5630456,http://www.aachen.de/de/kultur_freizeit/kultur/stadtarchiv/archivalie_monat/archivalie58.html,"Um die Jahrhundertwende gehörte Aachen zu den frühen Zentren der Automobilwirt-schaft in Deutschland. Die Stadt war Sitz des Westdeutschen Automobil-Clubs und Austragungsort mehrerer Rennen, die mit Autos und Motorrädern auf öffentlichen Straßen über weite Distanzen ausgetragen wurden. Mehrere Hersteller und Händler boten Autos, Motorräder, motorisierte Fahrräder, Autoteile, -zubehör und -kleidung sowie Kraftstoff und Sportartikel an. Die erste einer Reihe von Fahrten wurde im Mai 1899 durch den Westdeutschen Automobil-Club veranstaltet und führte von Aachen und Jülich und Köln nach Koblenz. Ein Jahr später organisierte der Aachener Club gemeinsam mit dem in Berlin ansässigen Deutschen Automobil-Club die „Automobil-Fernfahrt Berlin-Aachen“. Diese startete am 30. August 1900 am Zoologischen Garten der Hauptstadt und führte in vier Tagesetappen über Magdeburg, Hannover und Münster zum Zielpunkt am Tivoli in Aachen. Organisatoren und Teilnehmer solcher Rennen waren, soweit ersichtlich, Männer aus dem bürgerlichen Milieu, wobei die Fahrzeuge in der Regel Unternehmen der Automobilbranche und nicht ihren Fahrern gehörten. Die Rennen waren spektakuläre Großveran-staltungen, die entlang der Strecke von Tausenden Menschen beobachtet wurden. Zugleich bildeten sie den Anlass für aufwändige kulturelle Begleitprogramme, die sich an ein wohlhabendes Publikum richteten. Während der Fernfahrt Berlin-Aachen erstreckte sich dieses Programm über drei Tage und umfasste neben Empfängen, festlichen Mahlzeiten und einem Ausflug in den Aachener Wald als Höhepunkt eine „venetianische Nacht mit Doppelconcert am Elisenbrunnen […] zu Ehren der anwesenden Automobilisten“.",295187,5630456
archivalie_des_monats.38,POINT (293958 5629153),38,10. Oktober 1870: Eröffnung der Königlich Rheinisch-Westfälischen Polytechnischen Schule Aachen vor 150 Jahren,Templergraben 55,293958 5629153,http://www.aachen.de/de/kultur_freizeit/kultur/stadtarchiv/archivalie_monat/archivalie61.html,"Der Templergraben hatte Ende der 1860er-Jahre etwas Ländliches. Die Straße war im Gegensatz zum Gehweg nicht gepflastert, grobe Holzlattenzäune säumten die Grundstücke, die Bebauung entlang der Straße wirkte nicht großstädtisch, aber immerhin gab es schon Laternen, die in der Dämmerung den Weg wiesen. Das Gebäude der Polytechnischen Hochschule, wie die RWTH bei ihrer Gründung genannt wurde, befindet sich gerade im Bau; die Fenster sind mit Holzplatten verschlossen, vor dem späteren Hauptportal liegen Baumaterialen, an der Ecke des Neubaus stehen Bauhütten. Die neue höhere Bildungsanstalt setzte in ihrem Ausbildungskonzept auf die Vermittlung naturwissenschaftlicher Inhalte, als sie am 10. Oktober 1870 eröffnet wurde und zunächst mit 201 Studenten das Studienjahr begann. Der Eröffnung der Polytechnischen Schule in Aachen war ein langjähriges Bemühen verschiedener Aachener Akteure vorausgegangen, eine höhere Lehranstalt in Aachen zu eröffnen. Treibende Motoren waren hierbei der Verein zur Beförderung der Arbeitsamkeit, aus dem später die Sparkasse hervorging, sowie die von David Hansemann 1825 gegründete Aachen-Münchener Feuer-Versicherungs-Gesellschaft. Während die Versicherung 1858 mit einer Geldspende an Prinz Friedrich-Wilhelm von Preußen die Aufmerksamkeit nach Aachen lenkte, versprach der Verein eine jährliche Unterstützung einer Polytechnischen Schule von 5.000 Talern oder einmalig 100.000 Taler. Letztlich kam es zu der Einmalzahlung, die wesentlich zur Gründung der Hochschule in Aachen beitrug. Am 14. November 1863 bestimmte der preußische König Wilhelm I. in einem Erlass Aachen als Standort der Polytechnischen Schule und am 15. Mai 1865 wurde der Grundstein zum Bau des Hauptgebäudes der heutigen RWTH am Templergraben gelegt.",293958,5629153
